order,c_max,c_min,l_max,l_min,a_max,a_min
Pão da Camposa 400 g SA,280,260,130,110,80,55
MAXI BAGUETE RUSTICA D SA,550,450,80,60,50,30
Pão da Camposa BAVIERA 400 g SA,280,260,120,100,70,50
CARCAÇA SALOIA SA - FRITSCH 3,170,150,80,70,60,40
Pão Saloio SA - FRISTCH 3,380,280,220,180,140,100
Pão da Camposa  Cereais 400 g SA FRISTCH,280,260,130,110,80,55
BARRA RUSTICA  SA - FRITCH 3,450,350,110,90,50,30
Pão  de Chia e Quinoa SA FRISTCH 3,180,130,180,130,90,70
Pão de Mistura Sementes 750g SA,300,260,150,110,110,70
FOCACCIA SA,140,120,100,80,30,20
Pão Integral com sementes SA,270,250,125,110,80,55
